                        Pruning backbone: separable_cnn                         
================================================================================
  Loaded teacher: checkpoints/part_b/separable_cnn_metric.pt
  Teacher Recall@1 (training time): 0.8280

  Sparsity   Actual   Params     Recall@1   Drop
  ----------------------------------------------------
    0%       0.00       38,304    0.8280     +0.0000
   10%       0.10       38,304    0.8245     +0.0035
   20%       0.20       38,304    0.8230     +0.0050
   30%       0.30       38,304    0.8175     +0.0105
   40%       0.40       38,304    0.8110     +0.0170
   50%       0.50       38,304    0.7990     +0.0290
   60%       0.60       38,304    0.7895     +0.0385
   70%       0.70       38,304    0.7440     +0.0840
   80%       0.80       38,304    0.7060     +0.1220

  Pruning curve saved → results/pruning_curve.png
