Loaded Part A weights for 'separable_cnn'
Randomly initialized: ['head.weight', 'head.bias']
Using custom learning rates — backbone: 1e-05, head: 0.0001

=======================================================
Part B — Metric learning: separable_cnn
    Embedding dim : 64
    Loss          : TripletLoss()
=======================================================[0
  Epoch 01/40 | loss 0.0452 | Recall@1 0.8375
  Epoch 02/40 | loss 0.0400 | Recall@1 0.8370
  Epoch 03/40 | loss 0.0386 | Recall@1 0.8350
  Epoch 04/40 | loss 0.0394 | Recall@1 0.8385
  Epoch 05/40 | loss 0.0379 | Recall@1 0.8375
  Epoch 06/40 | loss 0.0378 | Recall@1 0.8400
  Epoch 07/40 | loss 0.0377 | Recall@1 0.8400
  Epoch 08/40 | loss 0.0377 | Recall@1 0.8380
  Epoch 09/40 | loss 0.0365 | Recall@1 0.8360
  Epoch 10/40 | loss 0.0368 | Recall@1 0.8350
  [warmup done] backbone unfrozen
  Epoch 11/40 | loss 0.0372 | Recall@1 0.8270
  Epoch 12/40 | loss 0.0360 | Recall@1 0.8365
  Epoch 13/40 | loss 0.0351 | Recall@1 0.8325
  Epoch 14/40 | loss 0.0355 | Recall@1 0.8300
  Epoch 15/40 | loss 0.0341 | Recall@1 0.8315
  Epoch 16/40 | loss 0.0337 | Recall@1 0.8315
  Epoch 17/40 | loss 0.0343 | Recall@1 0.8335
  Epoch 18/40 | loss 0.0332 | Recall@1 0.8325
  Epoch 19/40 | loss 0.0322 | Recall@1 0.8275
  Epoch 20/40 | loss 0.0327 | Recall@1 0.8375
  Epoch 21/40 | loss 0.0325 | Recall@1 0.8355
  Epoch 22/40 | loss 0.0320 | Recall@1 0.8335
  Epoch 23/40 | loss 0.0324 | Recall@1 0.8325
  Epoch 24/40 | loss 0.0321 | Recall@1 0.8320
  Epoch 25/40 | loss 0.0314 | Recall@1 0.8325
  Epoch 26/40 | loss 0.0315 | Recall@1 0.8320
  Epoch 27/40 | loss 0.0316 | Recall@1 0.8355
  Epoch 28/40 | loss 0.0310 | Recall@1 0.8410
  Epoch 29/40 | loss 0.0312 | Recall@1 0.8385
  Epoch 30/40 | loss 0.0311 | Recall@1 0.8325
  Epoch 31/40 | loss 0.0311 | Recall@1 0.8300
  Epoch 32/40 | loss 0.0301 | Recall@1 0.8360
  Epoch 33/40 | loss 0.0306 | Recall@1 0.8315
  Epoch 34/40 | loss 0.0309 | Recall@1 0.8345
  Epoch 35/40 | loss 0.0307 | Recall@1 0.8340
  Epoch 36/40 | loss 0.0305 | Recall@1 0.8345
  Epoch 37/40 | loss 0.0299 | Recall@1 0.8335
  Epoch 38/40 | loss 0.0301 | Recall@1 0.8335
  Epoch 39/40 | loss 0.0300 | Recall@1 0.8340
  Epoch 40/40 | loss 0.0316 | Recall@1 0.8365

  Best Recall@1: 0.8410
  Saved checkpoint → checkpoints/part_b/separable_cnn_metric.pt
